year,temp
1903, 19.23494650205761 
1904, 18.916444011262726 
1905, 19.1764985921594 
1906, 19.208005387697636 
1907, 18.977085066060212 
1908, 19.14056903833658 
1909, 19.11718282975959 
1910, 19.06234971301711 
1911, 19.093325563136236 
1912, 19.21799750920512 
1913, 19.29138406974226 
1914, 19.530839993502273 
1915, 19.538019980506824 
1916, 19.231311376434917 
1917, 18.838966861598447 
1918, 19.10854150422351 
1919, 19.423851554039423 
1920, 19.317582656486895 
1921, 19.357325888022526 
1922, 19.371667939137968 
1923, 19.29091891379684 
1924, 19.27380555555556 
1925, 19.28552398743773 
1926, 19.49747660818713 
1927, 19.460289690275086 
1928, 19.582249593892133 
1929, 19.342801304959934 
1930, 19.536093350660604 
1931, 19.544770684427117 
1932, 19.576532515702834 
1933, 19.259885856616847 
1934, 19.440966022308857 
1935, 19.45910501949318 
1936, 19.42661273554256 
1937, 19.583195554472606 
1938, 19.60179716265974 
1939, 19.622621372103094 
1940, 19.584271090534976 
1941, 19.82319669157462 
1942, 19.617211067792933 
1943, 19.407396415421264 
1944, 19.57437662443146 
1945, 19.457609946935236 
1946, 19.72668667424735 
1947, 19.59605647606672 
1948, 19.601231291964478 
1949, 19.594739874377293 
1950, 19.441820906432735 
1951, 19.596455355209013 
1952, 19.683823857483215 
1953, 19.731863791423013 
1954, 19.508696474983754 
1955, 19.484371426250817 
1956, 19.15836498267274 
1957, 19.551230209010175 
1958, 19.82703906757634 
1959, 19.802496317955374 
1960, 19.711750270738566 
1961, 19.793690220922684 
1962, 19.560332521117587 
1963, 19.67018169265756 
1964, 19.40221702404158 
1965, 19.536708170890183 
1966, 19.76153343621398 
1967, 19.495439841888675 
1968, 19.41379775828461 
1969, 19.700260829542998 
1970, 19.63167979748754 
1971, 19.433612085769983 
1972, 19.686196664500756 
1973, 19.885699967511375 
1974, 19.47351153346329 
1975, 19.586380550140785 
1976, 19.40057185401776 
1977, 19.833781053714528 
1978, 19.615638536928735 
1979, 19.817631118691796 
1980, 19.792536685076882 
1981, 19.739320662768034 
1982, 19.750003113493616 
1983, 19.934441006064546 
1984, 19.697786008230462 
1985, 19.68629166666666 
1986, 19.75656684535412 
1987, 20.13363030647606 
1988, 19.999335038986345 
1989, 19.82553608945203 
1990, 20.09174049707602 
1991, 19.929243718865063 
1992, 19.817651748971187 
1993, 19.946496859432536 
1994, 20.10546872969461 
1995, 20.094670944336148 
1996, 19.82867798353909 
1997, 20.07393385856617 
1998, 20.570762697639168 
1999, 20.236026126272467 
2000, 20.115234405458093 
2001, 20.286923164392462 
2002, 20.462338314923112 
2003, 20.307938379900367 
2004, 20.249501868096157 
2005, 20.31291799328569 
2006, 20.35913488195799 
2007, 20.404317630495992 
2008, 20.189347736625518 
2009, 20.442047974875475 
2010, 20.492411116525886 
2011, 20.14462253627897 
2012, 20.318368773012768 
2013, 20.595312394836725 
2014, 20.579978298945882 
2015, 20.67461693773858 
2016, 20.729684815640258 
2017, 20.923179060899987 
2018, 20.910010396392067 
2019, 21.14440248697589 
2020, 21.02588708809297 
2021, 21.070185548311745 
2022, 21.253816828278314
