year,temp
1903,24.158162790697673
1904,23.84114728682168
1905,24.17873062015504
1906,24.192410852713166
1907,23.98681201550386
1908,24.125218992248055
1909,24.114249999999995
1910,24.025538759689937
1911,24.116908914728665
1912,24.292565891472876
1913,24.20969961240311
1914,24.454560077519364
1915,24.62112596899226
1916,24.169312015503877
1917,23.869612403100763
1918,24.051230620155042
1919,24.449891472868213
1920,24.306042635658915
1921,24.270503875968995
1922,24.31326356589147
1923,24.237687984496123
1924,24.397844961240295
1925,24.196914728682184
1926,24.541680232558132
1927,24.403596899224805
1928,24.554451550387594
1929,24.392658914728685
1930,24.414375968992243
1931,24.662751937984513
1932,24.440854651162795
1933,24.298036821705423
1934,24.289261627906967
1935,24.41287984496125
1936,24.45900968992248
1937,24.480957364341076
1938,24.435703488372095
1939,24.47016279069767
1940,24.607970930232554
1941,24.98509883720929
1942,24.668333333333337
1943,24.3108042635659
1944,24.54203682170542
1945,24.44149612403101
1946,24.61179069767442
1947,24.61774224806201
1948,24.568160852713163
1949,24.526831395348836
1950,24.35693798449611
1951,24.57534108527132
1952,24.689304263565884
1953,24.718686046511625
1954,24.518112403100787
1955,24.37181976744185
1956,24.254951550387606
1957,24.626565891472882
1958,24.90478875968992
1959,24.73188565891473
1960,24.662686046511634
1961,24.53997286821704
1962,24.474094961240308
1963,24.66003682170542
1964,24.424932170542636
1965,24.547463178294564
1966,24.779546511627903
1967,24.45751162790697
1968,24.362193798449628
1969,24.887213178294573
1970,24.64006395348837
1971,24.29150387596899
1972,24.769470930232558
1973,24.902067829457366
1974,24.399905038759698
1975,24.360019379844967
1976,24.478083333333316
1977,24.794405038759695
1978,24.58864147286822
1979,24.8308604651163
1980,24.905544573643414
1981,24.659918604651153
1982,24.696600775193797
1983,24.88570930232557
1984,24.695205426356594
1985,24.67196511627908
1986,24.756841085271333
1987,25.272141472868224
1988,24.94093604651162
1989,24.604370155038765
1990,24.87246124031009
1991,24.852416666666674
1992,24.76335658914729
1993,24.889831395348832
1994,24.84736627906976
1995,24.994025193798432
1996,24.866317829457348
1997,24.994691860465107
1998,25.471465116279063
1999,24.900422480620154
2000,24.90718798449613
2001,25.06485852713179
2002,25.295083333333338
2003,25.2577034883721
2004,25.080436046511625
2005,25.230707364341075
2006,25.18257558139535
2007,25.17344379844961
2008,24.980736434108522
2009,25.38383527131783
2010,25.459591085271303
2011,25.028306201550375
2012,25.257833333333327
2013,25.203696814643095
2014,25.73111782458298
2015,25.884380444354637
2016,25.726024447418542
2017,25.995767187082944
2018,26.1735156227459
2019,26.550395159209433
2020,26.355378119464408
2021,26.342644437246136
2022,26.103125340741833
