year,temp
1903,14.239601121794875
1904,14.178743749999997
1905,14.097235737179489
1906,14.2996907051282
1907,14.026318429487178
1908,14.147778205128207
1909,14.15067868589744
1910,14.155458493589748
1911,14.174360416666666
1912,14.246959455128204
1913,14.444495833333335
1914,14.689659935897433
1915,14.482796153846152
1916,14.314567147435895
1917,13.953489102564097
1918,14.301759455128206
1919,14.59444038461538
1920,14.441714743589737
1921,14.559525480769233
1922,14.475511698717952
1923,14.433718429487177
1924,14.203425160256407
1925,14.431225480769234
1926,14.552689262820513
1927,14.583706891025642
1928,14.588385416666668
1929,14.357192467948721
1930,14.70989871794872
1931,14.464784455128202
1932,14.657606410256406
1933,14.341165705128205
1934,14.576995352564104
1935,14.431197275641026
1936,14.393740384615384
1937,14.700545032051275
1938,14.750813782051283
1939,14.758053846153848
1940,14.650481570512824
1941,14.680599839743591
1942,14.671159615384612
1943,14.44618557692308
1944,14.651568269230774
1945,14.569115705128196
1946,14.757732532051284
1947,14.669233012820518
1948,14.592951762820519
1949,14.621322115384624
1950,14.593503525641033
1951,14.626468429487181
1952,14.69496426282051
1953,14.757537980769229
1954,14.47510048076923
1955,14.532341185897442
1956,14.113754326923074
1957,14.480706730769237
1958,14.750165705128206
1959,14.787343749999998
1960,14.816158173076923
1961,14.980884294871794
1962,14.729484134615383
1963,14.724109455128213
1964,14.479227884615383
1965,14.544240064102565
1966,14.725255608974363
1967,14.532802724358978
1968,14.599217307692307
1969,14.611558653846155
1970,14.582087660256407
1971,14.544812820512822
1972,14.633076282051285
1973,14.86586137820513
1974,14.653048076923076
1975,14.824475641025634
1976,14.417259775641023
1977,14.907888621794863
1978,14.76977147435897
1979,14.977138782051284
1980,14.88025560897436
1981,14.920422596153843
1982,14.882603205128213
1983,14.908779166666667
1984,14.633930448717948
1985,14.871996634615384
1986,14.813013141025635
1987,14.971878044871794
1988,15.170050801282045
1989,15.093864583333335
1990,15.226360897435896
1991,15.081029807692312
1992,14.808522275641018
1993, 14.975429487179488
1994, 15.229707051282043
1995, 15.025488942307696
1996, 14.745110096153843
1997, 15.092953846153845
1998, 15.520213141025648 
1999, 15.592886378205135 
2000, 15.302183814102563 
2001, 15.483817948717943
2002, 15.482972596153843 
2003, 15.308667147435893 
2004, 15.41596506410256
2005, 15.348407532051278 
2006, 15.523091506410259
2007, 15.578912820512814 
2008, 15.343717307692309 
2009, 15.552366025641021 
2010, 15.540643910256408 
2011, 15.27456971153846 
2012, 15.374929326923073 
2013, 15.389318607800446 
2014, 15.696898126100665 
2015, 15.80368844254756 
2016, 15.943747532486569 
2017, 16.147897413854174
2018,16.31703443900673
2019,16.553210731709175
2020,16.532331629480904
2021,16.746301364671737
2022,17.06784968391645
