year,AverageTemperature,Latitude,Longitude
1833,13.914333333333333,34.56,70.05
1834,13.9145,34.56,70.05
1835,14.570333333333334,34.56,70.05
1836,9.961368421083334,34.56,70.05
1837,18.241298245,34.56,70.05
1838,15.010767857166666,34.56,70.05
1839,5.0081071428333335,34.56,70.05
1840,13.68,34.56,70.05
1841,13.200625,34.56,70.05
1842,14.3575,34.56,70.05
1843,14.071166666666667,34.56,70.05
1844,13.40475,34.56,70.05
1845,13.62375,34.56,70.05
1846,14.350166666666667,34.56,70.05
1847,13.791500000000001,34.56,70.05
1848,13.378166666666667,34.56,70.05
1849,13.700916666666666,34.56,70.05
1850,13.685083333333333,34.56,70.05
1851,13.828916666666666,34.56,70.05
1852,13.783249999999999,34.56,70.05
1853,13.730166666666667,34.56,70.05
1854,13.9945,34.56,70.05
1855,14.227,34.56,70.05
1856,13.801583333333333,34.56,70.05
1857,13.392916666666666,34.56,70.05
1858,14.001416666666666,34.56,70.05
1859,14.240666666666666,34.56,70.05
1860,13.61925,34.56,70.05
1861,13.63275,34.56,70.05
1862,13.273166666666667,34.56,70.05
1863,14.039666666666667,34.56,70.05
1864,13.493833333333333,34.56,70.05
1865,13.778416666666667,34.56,70.05
1866,13.72675,34.56,70.05
1867,14.337,34.56,70.05
1868,13.955083333333333,34.56,70.05
1869,14.01925,34.56,70.05
1870,14.12625,34.56,70.05
1871,13.968583333333333,34.56,70.05
1872,14.186166666666667,34.56,70.05
1873,14.3005,34.56,70.05
1874,14.221833333333334,34.56,70.05
1875,14.510583333333333,34.56,70.05
1876,13.79875,34.56,70.05
1877,13.959916666666667,34.56,70.05
1878,13.876416666666668,34.56,70.05
1879,14.413583333333333,34.56,70.05
1880,14.744333333333334,34.56,70.05
1881,14.513,34.56,70.05
1882,13.797666666666666,34.56,70.05
1883,13.88775,34.56,70.05
1884,13.581083333333334,34.56,70.05
1885,13.139583333333333,34.56,70.05
1886,13.472249999999999,34.56,70.05
1887,13.971083333333333,34.56,70.05
1888,14.544,34.56,70.05
1889,14.134083333333333,34.56,70.05
1890,14.010166666666667,34.56,70.05
1891,13.447333333333333,34.56,70.05
1892,14.566416666666667,34.56,70.05
1893,13.529833333333334,34.56,70.05
1894,13.786249999999999,34.56,70.05
1895,14.287083333333333,34.56,70.05
1896,14.57375,34.56,70.05
1897,13.692833333333333,34.56,70.05
1898,13.885833333333334,34.56,70.05
1899,14.69,34.56,70.05
1900,14.111416666666667,34.56,70.05
1901,14.11475,34.56,70.05
1902,14.682916666666667,34.56,70.05
1903,13.345,34.56,70.05
1904,14.17775,34.56,70.05
1905,13.607666666666667,34.56,70.05
1906,14.170166666666667,34.56,70.05
1907,13.661416666666666,34.56,70.05
1908,13.929499999999999,34.56,70.05
1909,14.076333333333334,34.56,70.05
1910,13.500416666666666,34.56,70.05
1911,13.946,34.56,70.05
1912,14.246333333333334,34.56,70.05
1913,14.036666666666667,34.56,70.05
1914,14.288166666666667,34.56,70.05
1915,15.2225,34.56,70.05
1916,13.956,34.56,70.05
1917,14.124333333333334,34.56,70.05
1918,14.04525,34.56,70.05
1919,14.105666666666666,34.56,70.05
1920,13.550666666666666,34.56,70.05
1921,14.796166666666666,34.56,70.05
1922,14.474,34.56,70.05
1923,13.741166666666667,34.56,70.05
1924,13.82875,34.56,70.05
1925,14.074166666666667,34.56,70.05
1926,13.913833333333333,34.56,70.05
1927,14.070333333333334,34.56,70.05
1928,14.032583333333333,34.56,70.05
1929,13.882666666666667,34.56,70.05
1930,13.719083333333334,34.56,70.05
1931,13.887166666666667,34.56,70.05
1932,14.42025,34.56,70.05
1933,14.11425,34.56,70.05
1934,13.891583333333333,34.56,70.05
1935,13.464583333333334,34.56,70.05
1936,14.3915,34.56,70.05
1937,14.083916666666667,34.56,70.05
1938,14.435583333333334,34.56,70.05
1939,14.398916666666667,34.56,70.05
1940,14.701083333333333,34.56,70.05
1941,15.709083333333334,34.56,70.05
1942,14.686666666666667,34.56,70.05
1943,14.354916666666666,34.56,70.05
1944,14.347583333333333,34.56,70.05
1945,14.043666666666667,34.56,70.05
1946,15.24025,34.56,70.05
1947,15.437166666666666,34.56,70.05
1948,14.531083333333333,34.56,70.05
1949,14.17075,34.56,70.05
1950,13.507,34.56,70.05
1951,14.414916666666667,34.56,70.05
1952,14.7295,34.56,70.05
1953,15.076916666666667,34.56,70.05
1954,14.241666666666667,34.56,70.05
1955,14.72475,34.56,70.05
1956,14.579416666666667,34.56,70.05
1957,13.131583333333333,34.56,70.05
1958,15.041666666666666,34.56,70.05
1959,14.503,34.56,70.05
1960,14.543666666666667,34.56,70.05
1961,14.234,34.56,70.05
1962,14.1015,34.56,70.05
1963,15.00975,34.56,70.05
1964,13.727833333333333,34.56,70.05
1965,13.899000000000001,34.56,70.05
1966,14.389833333333334,34.56,70.05
1967,13.844166666666666,34.56,70.05
1968,13.854333333333333,34.56,70.05
1969,14.449416666666666,34.56,70.05
1970,15.22375,34.56,70.05
1971,15.102583333333333,34.56,70.05
1972,13.45975,34.56,70.05
1973,14.432833333333333,34.56,70.05
1974,13.951,34.56,70.05
1975,13.710666666666667,34.56,70.05
1976,14.081833333333334,34.56,70.05
1977,14.807,34.56,70.05
1978,14.423666666666666,34.56,70.05
1979,14.507333333333333,34.56,70.05
1980,15.028,34.56,70.05
1981,14.959166666666667,34.56,70.05
1982,14.115916666666667,34.56,70.05
1983,14.427416666666666,34.56,70.05
1984,14.954083333333333,34.56,70.05
1985,15.524833333333333,34.56,70.05
1986,14.71475,34.56,70.05
1987,15.462250000000001,34.56,70.05
1988,15.758666666666667,34.56,70.05
1989,14.463,34.56,70.05
1990,15.447083333333333,34.56,70.05
1991,14.570083333333333,34.56,70.05
1992,14.353416666666668,34.56,70.05
1993,14.956,34.56,70.05
1994,14.942583333333333,34.56,70.05
1995,15.03625,34.56,70.05
1996,14.87075,34.56,70.05
1997,14.771666666666667,34.56,70.05
1998,15.139166666666666,34.56,70.05
1999,15.885166666666667,34.56,70.05
2000,15.822666666666667,34.56,70.05
2001,15.847916666666666,34.56,70.05
2002,15.714583333333334,34.56,70.05
2003,15.132583333333333,34.56,70.05
2004,16.128416666666666,34.56,70.05
2005,14.8475,34.56,70.05
2006,15.7985,34.56,70.05
2007,15.518,34.56,70.05
