date,times
1960,27.245
1961,11.5
1962,12.95
1963,1.1
1964,46.601
1965,1.96
1966,10
1967,121.328
1968,59.748
1969,17.73
1970,0
1971,34.6
1972,24.164
1973,18.051
1974,27.031
1975,100
1976,6.722
1977,31.289
1978,6.118713379
1979,2.49
1980,14.83
1981,6.53
1982,164.199
1983,10
1984,18.088
1985,11.456
1986,43.51
1987,0
1988,49.8
1989,11.5
1990,19.4
1991,59.6
1992,233.634
1993,5
1994,19.682
1995,0
1996,10
1997,9.918
1998,78.427
1999,31.25
2000,35
2001,539.256
2002,5
2003,15.941
2004,37.067
2005,320.49
2006,10
2007,35.29000092
2008,14.74
2009,18.12
2010,24
2011,17.9
2012,7.85
