year,AverageTemperature
1833,13.914333333333333
1834,13.9145
1835,14.570333333333334
1836,9.961368421083334
1837,18.241298245
1838,15.010767857166666
1839,5.0081071428333335
1840,13.68
1841,13.200625
1842,14.3575
1843,14.071166666666667
1844,13.40475
1845,13.62375
1846,14.350166666666667
1847,13.791500000000001
1848,13.378166666666667
1849,13.700916666666666
1850,13.685083333333333
1851,13.828916666666666
1852,13.783249999999999
1853,13.730166666666667
1854,13.9945
1855,14.227
1856,13.801583333333333
1857,13.392916666666666
1858,14.001416666666666
1859,14.240666666666666
1860,13.61925
1861,13.63275
1862,13.273166666666667
1863,14.039666666666667
1864,13.493833333333333
1865,13.778416666666667
1866,13.72675
1867,14.337
1868,13.955083333333333
1869,14.01925
1870,14.12625
1871,13.968583333333333
1872,14.186166666666667
1873,14.3005
1874,14.221833333333334
1875,14.510583333333333
1876,13.79875
1877,13.959916666666667
1878,13.876416666666668
1879,14.413583333333333
1880,14.744333333333334
1881,14.513
1882,13.797666666666666
1883,13.88775
1884,13.581083333333334
1885,13.139583333333333
1886,13.472249999999999
1887,13.971083333333333
1888,14.544
1889,14.134083333333333
1890,14.010166666666667
1891,13.447333333333333
1892,14.566416666666667
1893,13.529833333333334
1894,13.786249999999999
1895,14.287083333333333
1896,14.57375
1897,13.692833333333333
1898,13.885833333333334
1899,14.69
1900,14.111416666666667
1901,14.11475
1902,14.682916666666667
1903,13.345
1904,14.17775
1905,13.607666666666667
1906,14.170166666666667
1907,13.661416666666666
1908,13.929499999999999
1909,14.076333333333334
1910,13.500416666666666
1911,13.946
1912,14.246333333333334
1913,14.036666666666667
1914,14.288166666666667
1915,15.2225
1916,13.956
1917,14.124333333333334
1918,14.04525
1919,14.105666666666666
1920,13.550666666666666
1921,14.796166666666666
1922,14.474
1923,13.741166666666667
1924,13.82875
1925,14.074166666666667
1926,13.913833333333333
1927,14.070333333333334
1928,14.032583333333333
1929,13.882666666666667
1930,13.719083333333334
1931,13.887166666666667
1932,14.42025
1933,14.11425
1934,13.891583333333333
1935,13.464583333333334
1936,14.3915
1937,14.083916666666667
1938,14.435583333333334
1939,14.398916666666667
1940,14.701083333333333
1941,15.709083333333334
1942,14.686666666666667
1943,14.354916666666666
1944,14.347583333333333
1945,14.043666666666667
1946,15.24025
1947,15.437166666666666
1948,14.531083333333333
1949,14.17075
1950,13.507
1951,14.414916666666667
1952,14.7295
1953,15.076916666666667
1954,14.241666666666667
1955,14.72475
1956,14.579416666666667
1957,13.131583333333333
1958,15.041666666666666
1959,14.503
1960,14.543666666666667
1961,14.234
1962,14.1015
1963,15.00975
1964,13.727833333333333
1965,13.899000000000001
1966,14.389833333333334
1967,13.844166666666666
1968,13.854333333333333
1969,14.449416666666666
1970,15.22375
1971,15.102583333333333
1972,13.45975
1973,14.432833333333333
1974,13.951
1975,13.710666666666667
1976,14.081833333333334
1977,14.807
1978,14.423666666666666
1979,14.507333333333333
1980,15.028
1981,14.959166666666667
1982,14.115916666666667
1983,14.427416666666666
1984,14.954083333333333
1985,15.524833333333333
1986,14.71475
1987,15.462250000000001
1988,15.758666666666667
1989,14.463
1990,15.447083333333333
1991,14.570083333333333
1992,14.353416666666668
1993,14.956
1994,14.942583333333333
1995,15.03625
1996,14.87075
1997,14.771666666666667
1998,15.139166666666666
1999,15.885166666666667
2000,15.822666666666667
2001,15.847916666666666
2002,15.714583333333334
2003,15.132583333333333
2004,16.128416666666666
2005,14.8475
2006,15.7985
2007,15.518
2008,15.47925
2009,15.093333333333334
2010,15.676
2011,15.812166666666666
2012,14.510333333333334
2013,17.172
1856,24.018689393333332
1857,22.74489394
1858,23.085458333333335
1859,23.3135
1860,23.102208333333333
1861,22.928166666666666
1862,24.786874046666668
1863,25.013641220833332
1864,25.043137405
1865,25.0726335875
1866,25.10212977
1867,25.131625955
1868,25.1611221375
1869,25.19061832
1870,25.220114505
1871,25.249610686666667
1872,25.27910687
1873,23.5590521625
1874,23.38825
1875,23.02875
1876,23.515041666666665
1877,23.563583333333334
1878,23.596916666666665
1879,22.642416666666666
1880,22.24175
1881,22.61675
1882,23.003333333333334
1883,23.008166666666668
1884,22.806083333333333
1885,23.532
1886,23.46291666666667
1887,22.88
1888,23.017916666666665
1889,23.844083333333334
1890,22.509
1891,22.701583333333332
1892,22.831166666666665
1893,23.460583333333332
1894,23.258499999999998
1895,23.398083333333332
1896,23.453166666666668
1897,23.530333333333335
1898,23.099416666666666
1899,23.481333333333332
1900,23.589833333333335
1901,23.680583333333335
1902,23.522166666666667
1903,23.45975
1904,22.716666666666665
1905,23.446583333333333
1906,23.2455
1907,22.9875
1908,23.1885
1909,23.684666666666665
1910,23.5355
1911,22.9355
1912,23.873083333333334
1913,23.611166666666666
1914,23.343916666666665
1915,23.502666666666666
1916,23.957583333333332
1917,23.53325
1918,22.96425
1919,22.942666666666668
1920,23.5505
1921,23.750416666666666
1922,23.346083333333333
1923,23.382416666666668
1924,24.076
1925,23.564666666666668
1926,23.916916666666665
1927,23.78483333333333
1928,23.975166666666667
1929,23.533583333333333
1930,23.33475
1931,23.97775
1932,23.48
1933,23.741583333333335
1934,24.240166666666667
1935,23.7815
1936,23.516750000000002
1937,24.113333333333333
1938,23.701833333333333
1939,23.555833333333332
1940,23.501916666666666
1941,23.949666666666666
1942,23.638916666666667
1943,23.229416666666665
1944,24.277
1945,24.201
1946,23.842
1947,24.25575
1948,23.678333333333335
1949,24.231749999999998
1950,23.764916666666668
1951,23.921583333333334
1952,23.93425
1953,23.611083333333333
1954,23.24416666666667
1955,23.482666666666667
1956,23.40225
1957,23.967166666666667
1958,23.49425
1959,23.901833333333332
1960,23.978166666666667
1961,23.751166666666666
1962,23.780833333333334
1963,24.108916666666666
1964,23.692083333333333
1965,23.623833333333334
1966,23.976166666666668
1967,23.646416666666667
1968,23.494166666666665
1969,24.012916666666666
1970,23.9225
1971,23.673583333333333
1972,23.56525
1973,24.340666666666667
1974,23.603833333333334
1975,23.62633333333333
1976,23.381
1977,24.120583333333332
1978,23.75
1979,24.130666666666666
1980,23.9875
