d,t
1960-01-01,12.438329999999999
1960-02-01,14.769459999999999
1960-03-01,16.44632
1960-04-01,19.45444
1960-05-01,22.238769999999995
1960-06-01,23.904429999999998
1960-07-01,24.199099999999998
1960-08-01,23.9456
1960-09-01,22.603509999999996
1960-10-01,19.76188
1960-11-01,16.530720000000002
1960-12-01,13.44574
1961-01-01,12.34063
1961-02-01,13.804289999999998
1961-03-01,17.085800000000003
1961-04-01,19.99053
1961-05-01,22.403299999999998
1961-06-01,23.968129999999995
1961-07-01,24.30744
1961-08-01,24.055960000000006
1961-09-01,22.55346
1961-10-01,19.686930000000004
1961-11-01,16.558949999999996
1961-12-01,12.984839999999998
1962-01-01,12.138259999999997
1962-02-01,13.84586
1962-03-01,16.47597
1962-04-01,19.521549999999998
1962-05-01,22.279730000000004
1962-06-01,23.527309999999996
1962-07-01,24.173729999999995
1962-08-01,24.01491
1962-09-01,22.27861
1962-10-01,19.59188
1962-11-01,16.268469999999997
1962-12-01,13.277020000000002
1963-01-01,11.515759999999998
1963-02-01,13.561580000000001
1963-03-01,16.45683
1963-04-01,19.39929
1963-05-01,22.10882
1963-06-01,23.735059999999994
1963-07-01,24.40443
1963-08-01,24.058760000000007
1963-09-01,22.592550000000003
1963-10-01,20.089839999999995
1963-11-01,17.015919999999998
1963-12-01,13.024329999999997
1964-01-01,11.904919999999999
1964-02-01,12.84477
1964-03-01,16.82753
1964-04-01,19.95455
1964-05-01,22.32294
1964-06-01,23.570610000000006
1964-07-01,23.983930000000004
1964-08-01,23.672819999999998
1964-09-01,22.183629999999997
1964-10-01,19.38161
1964-11-01,16.06834
1964-12-01,12.95865
1965-01-01,12.37426
1965-02-01,13.472390000000003
1965-03-01,16.18695
1965-04-01,18.718980000000002
1965-05-01,22.12536
1965-06-01,23.7847
1965-07-01,23.90511
1965-08-01,23.712690000000006
1965-09-01,22.382019999999997
1965-10-01,19.76171
1965-11-01,16.45723
1965-12-01,13.352629999999998
1966-01-01,12.668030000000002
1966-02-01,14.6865
1966-03-01,16.862560000000002
1966-04-01,19.72387
1966-05-01,22.30779
1966-06-01,23.801030000000004
1966-07-01,24.37649
1966-08-01,24.16822
1966-09-01,22.06473
1966-10-01,20.004749999999998
1966-11-01,16.63431
1966-12-01,12.84677
1967-01-01,11.849330000000002
1967-02-01,13.38181
1967-03-01,16.41637
1967-04-01,19.290220000000005
1967-05-01,22.425950000000004
1967-06-01,23.628289999999996
1967-07-01,24.16163
1967-08-01,24.07907
1967-09-01,22.143050000000002
1967-10-01,19.79789
1967-11-01,15.990209999999998
1967-12-01,12.3681
1968-01-01,11.52905
1968-02-01,12.50952
1968-03-01,16.620680000000004
1968-04-01,19.56038
1968-05-01,21.88906
1968-06-01,23.579230000000003
1968-07-01,24.105069999999998
1968-08-01,23.71221
1968-09-01,22.4819
1968-10-01,19.484659999999998
1968-11-01,16.61833
1968-12-01,13.723290000000002
1969-01-01,12.022680000000001
1969-02-01,13.235580000000004
1969-03-01,16.77671
1969-04-01,19.63902
1969-05-01,22.440379999999994
1969-06-01,23.695179999999997
1969-07-01,24.10069
1969-08-01,23.999900000000007
1969-09-01,22.43601
1969-10-01,19.88506
1969-11-01,16.3508
1969-12-01,12.94205
1970-01-01,12.05615
1970-02-01,14.0147
1970-03-01,15.92487
1970-04-01,19.984820000000003
1970-05-01,22.615450000000006
1970-06-01,23.550300000000004
1970-07-01,24.19772
1970-08-01,23.95359
1970-09-01,22.34496
1970-10-01,19.699960000000004
1970-11-01,16.301589999999997
1970-12-01,12.94738
1971-01-01,12.29058
1971-02-01,13.538049999999998
1971-03-01,16.1323
1971-04-01,19.461799999999997
1971-05-01,22.14462
1971-06-01,23.263030000000004
1971-07-01,24.05908999999999
1971-08-01,23.72842
1971-09-01,22.215300000000003
1971-10-01,19.325779999999998
1971-11-01,16.141059999999996
1971-12-01,13.03475
1972-01-01,11.975069999999999
1972-02-01,12.623750000000003
1972-03-01,16.70074
1972-04-01,19.45467
1972-05-01,22.25433
1972-06-01,23.979350000000004
1972-07-01,24.459799999999994
1972-08-01,23.947630000000004
1972-09-01,22.219669999999997
1972-10-01,19.61302
1972-11-01,16.43185
1972-12-01,13.52564
1973-01-01,12.659320000000001
1973-02-01,14.80106
1973-03-01,17.09273
1973-04-01,20.45951
1973-05-01,22.455730000000003
1973-06-01,23.893
1973-07-01,24.399419999999996
1973-08-01,24.109580000000005
1973-09-01,22.265690000000003
1973-10-01,19.51676
1973-11-01,15.989279999999999
1973-12-01,12.839800000000002
