AverageTemperature,year,CO2_content,volcanic,earthquakes,typhoons
19.14485833333333,1960.0,3,41,27.245,14
19.14502166666667,1961.0,3,37,11.5,24
18.949441666666665,1962.0,3,32,12.95,14
18.996930833333334,1963.0,3,45,1.1,13
18.806191666666667,1964.0,3,32,46.601,9
18.852835833333334,1965.0,3,36,1.96,13
19.178754166666668,1966.0,3,40,10.0,12
18.794326666666667,1967.0,3,47,121.328,17
18.81778166666667,1968.0,3,43,59.748,8
18.960338333333333,1969.0,3,36,17.73,7
18.9659575,1970.0,4,38,0.0,11
18.777898333333333,1971.0,4,42,34.6,19
18.93212666666667,1972.0,4,41,24.164,9
19.206823333333336,1973.0,4,51,18.051,12
18.837208333333333,1974.0,4,41,27.031,14
18.99177,1975.0,4,31,100.0,13
18.69083333333333,1976.0,4,38,6.722,10
19.14536916666667,1977.0,4,42,31.289,11
18.9816575,1978.0,4,30,6.118713379,11
19.2348825,1979.0,4,40,2.49,8
19.068540833333333,1980.0,4,47,14.83,8
19.115568333333336,1981.0,4,37,6.53,15
19.068149166666668,1982.0,4,41,164.199,8
19.1975725,1983.0,3,39,10.0,7
18.960731666666668,1984.0,4,39,18.088,15
18.99713583333333,1985.0,4,37,11.456,17
19.044755833333333,1986.0,4,51,43.51,14
19.40855583333333,1987.0,4,44,0.0,8
19.3520425,1988.0,4,33,49.8,10
19.22738083333333,1989.0,4,33,11.5,15
19.509549166666663,1990.0,4,33,19.4,16
19.271515,1991.0,4,44,59.6,9
19.09105416666667,1992.0,4,30,233.634,12
19.17823333333333,1993.0,3,35,5.0,8
19.472902500000004,1994.0,4,39,19.682,18
19.43988833333333,1995.0,4,39,0.0,14
19.171846666666667,1996.0,4,45,10.0,10
19.3501625,1997.0,4,32,9.918,6
19.94603083333333,1998.0,4,37,78.427,9
19.69895916666667,1999.0,3,44,31.25,12
19.50624333333333,2000.0,4,48,35.0,11
19.67935166666667,2001.0,4,42,539.256,17
19.855685,2002.0,4,51,5.0,8
19.630196666666667,2003.0,4,36,15.941,9
19.672204166666667,2004.0,4,54,37.067,11
21.168901428571427,2005.0,4,51,320.49,11
19.793993333333333,2006.0,4,46,10.0,12
19.85427,2007.0,4,39,35.29000092,12
19.608778333333333,2008.0,4,53,14.74,16
19.833751666666668,2009.0,4,40,18.12,14
19.91173416666667,2010.0,4,39,24.0,9
19.549196666666667,2011.0,4,37,17.9,10
19.66823916666667,2012.0,4,39,7.85,9
